Maria,M
Maria Adelaide Freitas Gonçalves,M
Maria Borges,M
Maria Droste,M
Maria Irene Leite da Costa,M
Maria Lamas,M
Maria Peregrina de Sousa,M
Maria Pia,M
Marinho,
Mário Bonito,M
Mário Cal Brandão,M
Mário de Vasconcelos e Sá,M
Mário Grilo,M
Marques da Silva,M
Marques de Abreu,M
Marques de Carvalho,M
Marques de Oliveira,M
Marques Marinho,M
Marracuene,
Marta de Penaguião,F
Marta Mesquita da Câmara,F
Marta Sampaio,F
Martim de Freitas,M
Martim Moniz,M
Martinho,M
Martins Sarmento,M
Mártires da Liberdade,
Mártires da Pátria,
Matapan,
Maternidade,
Maternidade Júlio Dinis,
Mateus,M
Matias de Albuquerque,M
Maurício Estêves Pereira Pinto,M
Mazagão,
Mazorra,
Meditação,
Meinedo,
Meiral,
Meixomil,
Melo,
Melo Adrião,
Melo Leote,
Melro,
Mem de Sá,
Mem Verdial,
Mendes Correia,
Mendes da Silva,
Mercado Abastecedor,
Mercadores,
Mercês,F
Miguel,M
Miguel Ângelo,M
Miguel Bombarda,M
Miguel da Silva,M
Miguel de Sousa Guedes,M
Miguel Torga,M
Mimosas,
Miosótis,
Mira,F
Miradouro,
Miraflor,
Miragaia,
Miramar,
Mirante,
Moçambique,
Mocidade da Arrábida,
Moínho de Vento,
Moinhos,
Molhe,
Mompilher,
Monchique,
Mondego,
Monsanto,
Monte,
Monte Alegre,
Monte Aventino,
Montebelo,
Monte Cativo,
Monte da Bela,
Monte da Costa,
Monte da Estação,
Monte da Lapa,
Monte da Luz,
Monte da Pena,
Monte de Campanhã,
Monte de Ramalde,
Monte de São João,
Monte do Bonfim,
Monte dos Burgos,
Monte dos Congregados,
Monte dos Judeus,
Monte Louro,
Monte Pedral,
Montes Claros,
Monte Tadeu,
Montevideu,
Montijo,
Morais Caldas,
Moreda,
Moreira,
Moreira de Assunção,
Moreira de Sá,
Mota Pinto,
Motas,
Mouteira,
Mouzinho da Silveira,
Mouzinho de Albuquerque,
Muro dos Bacalhoeiros,
Murta,
Musas,
Nagasaki,
Nascente da Colónia do Doutor Manuel Laranjeira,
Nascente da Quinta do Almor,
Natália Correia,F
Natária,
Nau Catrineta,
Naulila,F
Nau São Gabriel,
Nau São Rafael,
Nau Trindade,
Nau Vitória,
Navas de Tolosa,
Navegantes,
Nazaré,F
N'Dola,
Neiva,
Nevala,
Nevogilde,
Niassa,
